symbol,series,date1,prev_close,open,high,low,last_price,close,average_pr,tottrades,turnover,numtrades,delivery,volume,action,avgaction,avgdel,date,lottery
"INFY"," EQ"," 05-Jul-2021"," 1567.80"," 1569.15"," 1585.00"," 1561.05"," 1583.65"," 1578.95"," 1572.73"," 4058338"," 63826.79"," 123094"," 2344829"," 57.78",33,39,56.44,07/05/2021,F
"INFY"," EQ"," 02-Jul-2021"," 1560.40"," 1558.95"," 1569.45"," 1542.60"," 1566.20"," 1567.80"," 1555.25"," 5166064"," 80345.20"," 136155"," 2950675"," 57.12",38,40,56.10,07/02/2021,F
"INFY"," EQ"," 01-Jul-2021"," 1580.80"," 1576.85"," 1576.85"," 1559.05"," 1561.95"," 1560.40"," 1565.56"," 4814317"," 75371.12"," 150925"," 2996603"," 62.24",32,40,56.08,07/01/2021,F
"INFY"," EQ"," 30-Jun-2021"," 1563.05"," 1572.05"," 1591.00"," 1572.05"," 1580.00"," 1580.80"," 1582.44"," 6058722"," 95875.63"," 167938"," 3226132"," 53.25",36,40,55.98,06/30/2021,F
"INFY"," EQ"," 29-Jun-2021"," 1571.80"," 1561.00"," 1573.65"," 1559.20"," 1562.00"," 1563.05"," 1564.66"," 5913567"," 92527.00"," 197132"," 3844762"," 65.02",30,40,55.92,06/29/2021,F
"INFY"," EQ"," 28-Jun-2021"," 1574.20"," 1572.90"," 1580.15"," 1560.60"," 1569.10"," 1571.80"," 1570.82"," 5019178"," 78842.38"," 136591"," 3354874"," 66.84",37,40,55.73,06/28/2021,F
"INFY"," EQ"," 25-Jun-2021"," 1559.20"," 1572.00"," 1578.00"," 1543.00"," 1574.00"," 1574.20"," 1565.12"," 9780240"," 153072.52"," 192643"," 5825533"," 59.56",51,40,55.54,06/25/2021,T
"INFY"," EQ"," 24-Jun-2021"," 1503.15"," 1517.00"," 1568.75"," 1511.20"," 1556.10"," 1559.20"," 1543.60"," 10785137"," 166478.92"," 263797"," 4248860"," 39.40",41,40,55.40,06/24/2021,F
"INFY"," EQ"," 23-Jun-2021"," 1511.85"," 1525.00"," 1525.00"," 1498.65"," 1503.00"," 1503.15"," 1508.29"," 5529809"," 83405.58"," 118288"," 3390584"," 61.31",47,40,55.74,06/23/2021,T
"INFY"," EQ"," 22-Jun-2021"," 1500.30"," 1509.70"," 1521.45"," 1502.10"," 1511.35"," 1511.85"," 1510.60"," 6427862"," 97099.10"," 127430"," 4445029"," 69.15",50,40,55.59,06/22/2021,T
"INFY"," EQ"," 21-Jun-2021"," 1503.30"," 1493.00"," 1505.80"," 1484.20"," 1501.25"," 1500.30"," 1496.92"," 5454052"," 81642.77"," 124524"," 3573308"," 65.52",44,40,55.45,06/21/2021,T
"INFY"," EQ"," 18-Jun-2021"," 1495.30"," 1509.00"," 1515.80"," 1487.40"," 1510.00"," 1503.30"," 1501.85"," 13533974"," 203260.30"," 240906"," 8120093"," 60.00",56,40,55.11,06/18/2021,T
"INFY"," EQ"," 17-Jun-2021"," 1480.60"," 1475.10"," 1502.65"," 1475.10"," 1501.20"," 1495.30"," 1487.78"," 7677951"," 114231.16"," 229654"," 5348161"," 69.66",33,40,54.97,06/17/2021,F
"INFY"," EQ"," 16-Jun-2021"," 1473.90"," 1472.70"," 1489.45"," 1467.50"," 1479.20"," 1480.60"," 1478.45"," 7661710"," 113274.44"," 162924"," 4968980"," 64.85",47,40,54.66,06/16/2021,T
"INFY"," EQ"," 15-Jun-2021"," 1461.80"," 1464.00"," 1476.00"," 1463.00"," 1474.00"," 1473.90"," 1469.83"," 5403104"," 79416.36"," 141422"," 3838503"," 71.04",38,40,54.44,06/15/2021,F
"INFY"," EQ"," 14-Jun-2021"," 1446.90"," 1471.00"," 1477.00"," 1453.45"," 1460.00"," 1461.80"," 1463.12"," 7132294"," 104354.32"," 147667"," 3839693"," 53.84",48,40,54.17,06/14/2021,F
"INFY"," EQ"," 11-Jun-2021"," 1424.30"," 1430.10"," 1451.60"," 1429.45"," 1446.05"," 1446.90"," 1443.02"," 6140828"," 88613.17"," 173378"," 3646591"," 59.38",35,40,54.20,06/11/2021,F
"INFY"," EQ"," 10-Jun-2021"," 1415.30"," 1424.00"," 1429.00"," 1419.00"," 1424.25"," 1424.30"," 1423.55"," 3496575"," 49775.61"," 121283"," 2254314"," 64.47",29,40,54.30,06/10/2021,F
"INFY"," EQ"," 09-Jun-2021"," 1412.95"," 1413.40"," 1425.00"," 1404.60"," 1415.00"," 1415.30"," 1415.72"," 5394317"," 76368.47"," 137139"," 3283589"," 60.87",39,40,54.13,06/09/2021,F
"INFY"," EQ"," 08-Jun-2021"," 1389.65"," 1396.00"," 1421.75"," 1395.55"," 1414.00"," 1412.95"," 1412.47"," 7360630"," 103966.98"," 188069"," 3748050"," 50.92",39,40,53.94,06/08/2021,F
"INFY"," EQ"," 07-Jun-2021"," 1385.65"," 1391.00"," 1392.00"," 1377.30"," 1390.50"," 1389.65"," 1384.88"," 5154576"," 71384.87"," 127520"," 3234781"," 62.76",40,40,54.02,06/07/2021,F
"INFY"," EQ"," 04-Jun-2021"," 1389.65"," 1393.95"," 1396.90"," 1377.65"," 1385.15"," 1385.65"," 1384.98"," 4194328"," 58090.75"," 109532"," 2560752"," 61.05",38,40,53.82,06/04/2021,F
"INFY"," EQ"," 03-Jun-2021"," 1378.65"," 1388.10"," 1399.00"," 1377.05"," 1390.80"," 1389.65"," 1385.81"," 5115645"," 70893.20"," 137141"," 2412413"," 47.16",37,40,53.61,06/03/2021,F
"INFY"," EQ"," 02-Jun-2021"," 1387.20"," 1380.75"," 1391.95"," 1365.00"," 1381.00"," 1378.65"," 1374.91"," 9272276"," 127485.18"," 186335"," 5545823"," 59.81",50,40,53.55,06/02/2021,T
"INFY"," EQ"," 01-Jun-2021"," 1393.75"," 1400.00"," 1401.00"," 1378.65"," 1388.95"," 1387.20"," 1385.00"," 4791325"," 66359.65"," 180376"," 2947100"," 61.51",27,40,53.45,06/01/2021,F
"INFY"," EQ"," 31-May-2021"," 1405.05"," 1401.50"," 1401.50"," 1383.00"," 1395.00"," 1393.75"," 1393.13"," 4429904"," 61714.26"," 145671"," 2372824"," 53.56",30,41,53.47,05/31/2021,F
"INFY"," EQ"," 28-May-2021"," 1402.25"," 1409.75"," 1414.00"," 1396.10"," 1407.70"," 1405.05"," 1406.44"," 4261312"," 59932.59"," 106771"," 2093923"," 49.14",40,41,53.55,05/28/2021,F
"INFY"," EQ"," 27-May-2021"," 1397.25"," 1404.20"," 1416.25"," 1391.70"," 1408.90"," 1402.25"," 1404.67"," 15365391"," 215832.98"," 250209"," 9964000"," 64.85",61,41,53.74,05/27/2021,T
"INFY"," EQ"," 26-May-2021"," 1361.60"," 1367.90"," 1400.00"," 1362.05"," 1395.00"," 1397.25"," 1386.91"," 6850024"," 95003.78"," 174833"," 3555403"," 51.90",39,41,53.78,05/26/2021,F
"INFY"," EQ"," 25-May-2021"," 1348.05"," 1358.00"," 1368.00"," 1354.45"," 1364.00"," 1361.60"," 1361.92"," 4099340"," 55829.85"," 129513"," 2523676"," 61.56",32,41,53.79,05/25/2021,F
"INFY"," EQ"," 24-May-2021"," 1354.50"," 1356.65"," 1363.00"," 1345.10"," 1349.00"," 1348.05"," 1352.41"," 4225371"," 57144.42"," 108054"," 2718187"," 64.33",39,41,53.65,05/24/2021,F
"INFY"," EQ"," 21-May-2021"," 1339.30"," 1347.50"," 1357.50"," 1346.35"," 1356.00"," 1354.50"," 1351.75"," 4969733"," 67178.56"," 153186"," 3292758"," 66.26",32,41,53.42,05/21/2021,F
"INFY"," EQ"," 20-May-2021"," 1337.00"," 1348.40"," 1349.10"," 1335.00"," 1341.95"," 1339.30"," 1340.80"," 4490092"," 60203.30"," 111007"," 2585662"," 57.59",40,41,53.20,05/20/2021,F
